Timestamp,CVE,Severity,Action,Description
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: systemd-timesync,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: dhcpcd,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: messagebus,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: syslog,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: systemd-resolve,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: tss,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: uuidd,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: sshd,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: pollinate,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: tcpdump,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: landscape,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: fwupd-refresh,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: polkitd,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disabled unused system account: clamav,Success
2024-12-04 08:26:09,CVE-2020-10713,Medium,Disable or remove unused user accounts,Success
2024-12-04 08:26:09,CVE-2019-14287,High,Configure GRUB password protection,Instructions provided for manual GRUB password setup.
2024-12-04 08:26:09,CVE-2016-2776,Medium,Configure NTP to use authenticated servers,Failed: /etc/ntp.conf does not exist.
2024-12-04 08:26:09,CVE-2021-3711,High,Configured SSH to display login banner,Success
2024-12-04 08:26:09,CVE-2021-3711,High,Restarted SSH service to apply login banner changes,Success
2024-12-04 08:26:09,CVE-2021-3711,High,Configure login banner for unauthorized access warnings,Success
2024-12-04 08:26:09,CVE-2019-11236,Medium,Configure sudoers to restrict root-level access,Sudoers file validated and configured successfully.
2024-12-04 08:26:09,CVE-2018-16864,High,Implement data-at-rest encryption,Advised manual setup for data-at-rest encryption.
2024-12-04 08:26:09,CVE-2021-34558,Medium,Encrypt and securely store system backups,"Failed: gpg: directory '/root/.gnupg' created
gpg: keybox '/root/.gnupg/pubring.kbx' created
gpg: -:1: unknown keyword"
2024-12-04 08:26:09,CVE-2020-8558,High,Made failed login notification script executable,Success
2024-12-04 08:26:10,CVE-2020-8558,High,Reloaded systemd daemon,Success
2024-12-04 08:26:10,CVE-2020-8558,High,Enabled failed login notification service,Success
2024-12-04 08:26:10,CVE-2020-8558,High,Started failed login notification service,Success
2024-12-04 08:26:10,CVE-2020-8558,High,Setup notifications for failed login attempts,Success
